number	type	status	title
219	Issue	Pending	CAP-21: Voice capture and transcription integration (opt-in privacy posture)
544	Issue	Pending	GTM-00: Market adoption and go-to-market wave tracker
546	Issue	Pending	GTM-02: Record 90-second demo video showing core capture-review-apply loop
550	Issue	Pending	BRAND-01: Domain, logo, and social media handles
655	Issue	Pending	MCP-04: Phase 4 — MCP production hardening (deferred to v0.4.0+)
996	Issue	Pending	PAPER-00 · Master tracker · Paper & Graphite, Ember Edition overhaul
1128	Issue	Pending	Harden the test loop for agents (DOM cleanup, non-watch default, single verify command, network guar
1131	Issue	Pending	CLI hardening: unusable on a fresh machine + bypasses claims-first authorization
1133	Issue	Pending	Backend query performance: bound notification paging, AsSplitQuery board reads, incrementalize Signa
1134	Issue	Pending	Backend observability & structure: surface swallowed audit failures, consolidate migrations, decompo
1135	Issue	Pending	Frontend code-health guardrails + decompose oversized views
1138	Issue	Pending	Docs truth & rotation: fix STATUS.md drift/bloat, repair broken links, add a link checker
1140	Issue	Pending	Workspace hygiene & one-command dev-up: clean script, absolute SQLite path, .dockerignore
1141	Issue	Pending	i18n & accessibility decisions (ADR): English-only + browser-locale dates; Legacy reduced-motion
1142	Issue	Pending	[TRACKER] Repo health audit 2026-05-31 — gaps & remediation
1166	Issue	Pending	Harden dev-sandbox DB export/import for WAL (prefer SQLite backup API / VACUUM INTO)
1167	Issue	Pending	Code-sign + notarize desktop release binaries (Windows Authenticode + macOS Developer ID)
1174	Issue	Pending	Add a per-advisory dependency-audit allowlist consulted by the enforce step (#1132 follow-up)
1175	Issue	Pending	Remediate security-scan baseline, then flip dependency + SAST gates to enforcing (#1132 follow-up)
1210	Issue	Pending	ci-extended.yml lane fails with startup_failure (no jobs run) — Testcontainers integration coverage 
1222	Issue	Pending	Residual archive-pivot doc drift (leaf docs) — follow-up to #1220
1226	Issue	Pending	Deliberate framework-major upgrade pass (move off net8.0 as one coordinated migration)
1227	Issue	Pending	Dated analysis/research snapshots still describe telemetry / agent-substrate / knowledge as unbuilt
1239	Issue	Pending	Push capture board/status filters into SQL to bound filtered-list round-trips
1242	Issue	Blocked	Persist bootstrapper secrets (connector key, JWT) in the durable app-data location, not next to the 
1261	Issue	Pending	GetExpiredAsync: avoid Include(Operations) + consider chunking for large expiry sweeps
1262	Issue	Pending	CliFirstRunBootstrapper: owner-only Windows ACL + fix write-before-chmod TOCTOU on the connector key
1266	Issue	Pending	Selected-label ring uses ring-offset-2 with Tailwind's default white offset — 2px white halo on dark
1271	Issue	Pending	ARCHIVE-03: Dogfooding sprint - 10+ days of real personal use as the pivot's acceptance test
1276	Issue	Pending	ARCHIVE-08: Dead-surface removal - ink-bleed decision, orphaned Paper code, cohorts stub, voice capt
1277	Issue	Pending	ARCHIVE-09: Final archive pass - README banner, final doc entries, tag decision, exit-criteria done-
