2010	-	backend,frontend,Priority III,feature,worker	Reminders, alarms, and email delivery — configurable notification channels (epic)
2009	-	frontend,ux,Priority II,ui	Night theme legibility: control boundaries at 1.15:1, body ink at 14.9:1 — needs a palette spike
2008	-	bug,frontend,ux,Priority II,ui	Modifier keys render three different ways in one app — hardcoded ⌘ glyphs on Windows, deprecated platform detection
2007	-	bug,frontend,ux,tech-debt,Priority II,ui	Keystroke ledger documents shortcuts that don't exist, omits ones that do, and there are three divergent shortcut systems
2006	-	frontend,ux,Priority II,ui	Date fields: calendar should open on click anywhere in the field, not just the icon (keep typing too)
2005	-	bug,backend,frontend,Priority I,automation	Capture due date (and labels) are silently dropped end-to-end — never reach the proposal or the card
2004	-	bug,backend,frontend,ux,llm,Priority I,automation	Automation Chat produces prose, never proposals — the chat workflow needs re-thinking
2003	-		i18n: locale-switch pending state and SW-upgrade catalog warm (lazy-locale polish)
1999	-	frontend,ux,testing,Priority II	[Frontend] Paper triage-edit residuals from PR #1995's Codex round: mobile action stacking, Triaged-row edit, filter-change draft, stalled-detail Cancel
1997	-	bug,frontend,ux,testing,Priority I	[Frontend][UX] Card comment deletion still confirms through a native window.confirm
1992	-	backend,testing,hardening,Priority I	[Backend][Deploy] #1971 routing residuals: nginx doesn't proxy /mcp (split topology), wrong-verb GET on POST-only routes now 404s not 405s, PWA denylist misses /hubs and /health
1991	-	frontend,ux,tech-debt,Priority III	[Frontend] Toast/counter residuals from PR #1989: board-scoped eyebrow divergence, runtime-assembled i18n key, unreserved 'applied' label, refusal toasts stamp NOTED
1987	-	security,backend,frontend,llm,Priority II	[Backend][Frontend] Wire the provenance triple (provider/model/promptVersion) into the deep-review payload so #1963's honest footnote can render
1984	-	bug,frontend,ux,Priority II,feature	[Frontend] Composer silently discards label/due metadata; board-link columnId is read by nothing (horizon doc round-2 findings)
1983	-	frontend,ux,testing,Priority II	[Frontend] Post-wave Codex residuals: Today loading-vs-failed states, note-save copy, ledger empty-state precision; Review Enter-in-dialog
1975	-	bug,frontend,ux,testing,Priority II	[Frontend] Paper board dialog residuals from PR #1959: TdDialog machinery parity, realtime input-clobber (both skins), Enter-swallow in dialogs
1973	-	bug,backend,frontend,ux,Priority I	[Backend][UX] Archiving a board makes its captures and applied-proposal ledger vanish from every list with no disclosure
1972	-	bug,frontend,ux,Priority II	[Frontend][UX] "Agent" workspace mode is byte-identical to "Workbench" — a persisted selector option no code reads
1968	-	frontend,ux,Priority II,feature	[Frontend][UX] Documented bare-letter shortcuts (H/T/B/I/R, G T, board C/R) have no handler, and Settings has no Keyboard page
1967	-	bug,frontend,ux,Priority I	[Frontend][UX] Applied proposals are unreachable and "Open Proposal" renders a different proposal than it deep-links
1966	-	bug,frontend,ux,Priority I	[Frontend][UX] ?boardId= silently scopes Review and Inbox with no filter chip — headers report 0 AWAITING / 0 IN QUEUE while work exists
1962	-	docs,frontend,tech-debt,Priority III	[Frontend] Version-truth residuals from PR #1956: telemetry appVersion literal (already wrong), duplicated root derivation, demo-build stamp decision
1961	-	bug,frontend,ux,Priority II	[Frontend] Inbox board picker: distinguish load-failure and loading from a genuinely empty account (Codex P2 on PR #1952)
1955	-	bug,testing,Priority II,ci	[CI] Paper Color Audit reads a 4-digit issue number (#NNNN) as a hex colour literal
1949	-	bug,frontend,ux,testing,Priority I	[Frontend][Testing] Guard against dead affordances - six enabled-but-inert controls found in one audit pass
1947	-	frontend,ux,testing,Priority I,strategy	TRACKER: dogfooding UX sweep 2026-08-22 — dead affordances, core-loop legibility, board management
1946	-	frontend,ux,Priority II,feature	[Frontend][Feature] Global toggleable help/explainer mode covering every control, i18n-ready
1940	-	frontend,ux,Priority I,feature	[Frontend][UX] Review view is overwhelming, gives weak decision feedback, and the All/Mine filter is confusing
1938	-	bug,frontend,ux,Priority I	[Frontend][Bug][Priority II] Nib capture submit fails with a network-error toast that cannot be inspected and auto-dismisses
1937	-	frontend,ux,Priority II,feature	[Frontend][UX] Quick-capture nib gives no submit affordance, no explanation, and an ambiguous target
1936	-	frontend,ux,Priority II,feature	[Frontend][UX] Home view reads as a one-time onboarding tutorial, not a home/dashboard
1935	-	frontend,ux,Priority III	[Frontend][UX] Keyboard shortcut presentation: Mac ⌘-style glyph shown on Windows; Ctrl+; as the primary shortcut is unintuitive
1933	-	bug,frontend,ux,Priority II	[Frontend][Bug] Board creation: pressing Enter in the new-board name field does nothing
1921	-	bug,frontend,testing,hardening,Priority II	[Bug][Priority II] Authenticate ordinary demo collaborator before board writes and align reset docs
1916	-	backend,Priority III,performance	[Performance][Priority III] Bound archived capture payload loading in workspace summaries
1900	-	bug,frontend,testing,hardening,Priority II	[Bug][Priority II] Make dev readiness truthful for lazy Vite routes
1898	-	bug,testing,hardening,Priority II	[Bug][Priority II] Close remaining dev-up fail-closed availability races
1879	-	llm,tech-debt,Priority II	[LLM][Priority II] Remove the deprecated Gemini provider and collapse live configuration to OpenAI
1876	v0.1.2	bug,ux,testing,Priority I,packaging	[Bug][Priority I] Make the Windows release genuinely double-click-to-use
1872	-	bug,testing,Priority II,performance,ci	[CI] E2E Smoke: playwright install-deps intermittently times out (10 min) on ubuntu-24.04 - remove apt from the hot path
1871	-	frontend,ux,tech-debt,Priority III	[Frontend] Review-i18n + board-picker polish residuals (PR #1869 / #1870 reviews)
1868	-	testing,hardening,tech-debt,Priority III	[Frontend] ADR-0053 guard maintenance residuals: badge dE spacing, dual root lists, guard escape hatch (PR #1865 review)
1867	-	frontend,ux,testing,Priority III	[Frontend] TdDialog/useVisualViewport residuals: pinch-zoom scale, prefix validation, ungated geometric E2E (PR #1864 review)
1866	-	bug,security,backend,hardening,Priority II	[Authz] Sandbox-mode divergence: API-side CanWriteBoardAsync bypass vs policy-engine repository gate (PR #1861 review)
1860	-	testing,hardening,tech-debt,Priority III	[Agent safety] Fingerprint guard: lane-throw coverage, deletion classification, anchor precision (PR #1850 review residuals)
1859	-	testing,hardening,tech-debt,Priority III	[Agent safety] Read-only inventory wrapper: gh value-flag alignment, case-sensitivity, empty-argv diagnostics (PR #1848 review residuals)
